NAZ_OBEC,KOD_LAU1,NAZ_LAU1,KOD_CZNUTS3,NAZ_CZNUTS3
Jindřichov,CZ0715,Šumperk,CZ071,Olomoucký kraj
Milejovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Přechovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Krty-Hradec,CZ0316,Strakonice,CZ031,Jihočeský kraj
Mnichov,CZ0316,Strakonice,CZ031,Jihočeský kraj
Kamenná,CZ0715,Šumperk,CZ071,Olomoucký kraj
Řepov,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Tchořovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Kocelovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Semčice,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Hlupín,CZ0316,Strakonice,CZ031,Jihočeský kraj
Skalsko,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Nebřehovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Smilovice,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Sojovice,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Třešovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Klopina,CZ0715,Šumperk,CZ071,Olomoucký kraj
Úlehle,CZ0316,Strakonice,CZ031,Jihočeský kraj
Strašnov,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Strenice,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Němětice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Kolšov,CZ0715,Šumperk,CZ071,Olomoucký kraj
Velká Turná,CZ0316,Strakonice,CZ031,Jihočeský kraj
Kváskovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Sukorady,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Slaník,CZ0316,Strakonice,CZ031,Jihočeský kraj
Strunkovice nad Volyňkou,CZ0316,Strakonice,CZ031,Jihočeský kraj
Přední Zborovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Krašlovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Kosov,CZ0715,Šumperk,CZ071,Olomoucký kraj
Lom,CZ0316,Strakonice,CZ031,Jihočeský kraj
Libětice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Řepice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Velké Všelisy,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Rovná,CZ0316,Strakonice,CZ031,Jihočeský kraj
Zvotoky,CZ0316,Strakonice,CZ031,Jihočeský kraj
Horní Poříčí,CZ0316,Strakonice,CZ031,Jihočeský kraj
Uzeničky,CZ0316,Strakonice,CZ031,Jihočeský kraj
Chobot,CZ0316,Strakonice,CZ031,Jihočeský kraj
Pohorovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Štěchovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Všejany,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Kalenice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Krejnice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Nišovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Žďár,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Žerčice,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Židněves,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Nymburk,CZ0208,Nymburk,CZ020,Středočeský kraj
Běrunice,CZ0208,Nymburk,CZ020,Středočeský kraj
Bobnice,CZ0208,Nymburk,CZ020,Středočeský kraj
Bříství,CZ0208,Nymburk,CZ020,Středočeský kraj
Budiměřice,CZ0208,Nymburk,CZ020,Středočeský kraj
Bratronice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Lipovice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Činěves,CZ0208,Nymburk,CZ020,Středočeský kraj
Dlouhopolsko,CZ0208,Nymburk,CZ020,Středočeský kraj
Dobšice,CZ0208,Nymburk,CZ020,Středočeský kraj
Dvory,CZ0208,Nymburk,CZ020,Středočeský kraj
Dymokury,CZ0208,Nymburk,CZ020,Středočeský kraj
Kratušín,CZ0315,Prachatice,CZ031,Jihočeský kraj
Dvory,CZ0315,Prachatice,CZ031,Jihočeský kraj
Hořátev,CZ0208,Nymburk,CZ020,Středočeský kraj
Hradčany,CZ0208,Nymburk,CZ020,Středočeský kraj
Hradištko,CZ0208,Nymburk,CZ020,Středočeský kraj
Drslavice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Zábrdí,CZ0315,Prachatice,CZ031,Jihočeský kraj
Žernovice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Choťánky,CZ0208,Nymburk,CZ020,Středočeský kraj
Chotěšice,CZ0208,Nymburk,CZ020,Středočeský kraj
Chrást,CZ0208,Nymburk,CZ020,Středočeský kraj
Babice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Jíkev,CZ0208,Nymburk,CZ020,Středočeský kraj
Jizbice,CZ0208,Nymburk,CZ020,Středočeský kraj
Kamenné Zboží,CZ0208,Nymburk,CZ020,Středočeský kraj
Lesnice,CZ0715,Šumperk,CZ071,Olomoucký kraj
Kněžice,CZ0208,Nymburk,CZ020,Středočeský kraj
Kolaje,CZ0208,Nymburk,CZ020,Středočeský kraj
Kostelní Lhota,CZ0208,Nymburk,CZ020,Středočeský kraj
Lužice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Kostomlaty nad Labem,CZ0208,Nymburk,CZ020,Středočeský kraj
Košík,CZ0208,Nymburk,CZ020,Středočeský kraj
Kounice,CZ0208,Nymburk,CZ020,Středočeský kraj
Olšovice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Kovanice,CZ0208,Nymburk,CZ020,Středočeský kraj
Mahouš,CZ0315,Prachatice,CZ031,Jihočeský kraj
Krchleby,CZ0208,Nymburk,CZ020,Středočeský kraj
Křečkov,CZ0208,Nymburk,CZ020,Středočeský kraj
Křinec,CZ0208,Nymburk,CZ020,Středočeský kraj
Chvalovice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Libice nad Cidlinou,CZ0208,Nymburk,CZ020,Středočeský kraj
Loučeň,CZ0208,Nymburk,CZ020,Středočeský kraj
Lysá nad Labem,CZ0208,Nymburk,CZ020,Středočeský kraj
Mcely,CZ0208,Nymburk,CZ020,Středočeský kraj
Městec Králové,CZ0208,Nymburk,CZ020,Středočeský kraj
Milčice,CZ0208,Nymburk,CZ020,Středočeský kraj
Milovice,CZ0208,Nymburk,CZ020,Středočeský kraj
Buk,CZ0315,Prachatice,CZ031,Jihočeský kraj
Bohunice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Újezdec,CZ0315,Prachatice,CZ031,Jihočeský kraj
Pěčnov,CZ0315,Prachatice,CZ031,Jihočeský kraj
Odřepsy,CZ0208,Nymburk,CZ020,Středočeský kraj
Okřínek,CZ0208,Nymburk,CZ020,Středočeský kraj
Opočnice,CZ0208,Nymburk,CZ020,Středočeský kraj
Opolany,CZ0208,Nymburk,CZ020,Středočeský kraj
Střítež,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Ústrašín,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Oskořínek,CZ0208,Nymburk,CZ020,Středočeský kraj
Ostrá,CZ0208,Nymburk,CZ020,Středočeský kraj
Pátek,CZ0208,Nymburk,CZ020,Středočeský kraj
Pečky,CZ0204,Kolín,CZ020,Středočeský kraj
Písková Lhota,CZ0208,Nymburk,CZ020,Středočeský kraj
Písty,CZ0208,Nymburk,CZ020,Středočeský kraj
Pňov-Předhradí,CZ0204,Kolín,CZ020,Středočeský kraj
Poděbrady,CZ0208,Nymburk,CZ020,Středočeský kraj
Ondřejov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Poříčany,CZ0204,Kolín,CZ020,Středočeský kraj
Leština,CZ0715,Šumperk,CZ071,Olomoucký kraj
Přerov nad Labem,CZ0208,Nymburk,CZ020,Středočeský kraj
Útěchovičky,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Ratenice,CZ0204,Kolín,CZ020,Středočeský kraj
Rožďalovice,CZ0208,Nymburk,CZ020,Středočeský kraj
Sadská,CZ0208,Nymburk,CZ020,Středočeský kraj
Sány,CZ0208,Nymburk,CZ020,Středočeský kraj
Semice,CZ0208,Nymburk,CZ020,Středočeský kraj
Senice,CZ0208,Nymburk,CZ020,Středočeský kraj
Sloveč,CZ0208,Nymburk,CZ020,Středočeský kraj
Sokoleč,CZ0208,Nymburk,CZ020,Středočeský kraj
Proseč,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Stará Lysá,CZ0208,Nymburk,CZ020,Středočeský kraj
Teplička,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Straky,CZ0208,Nymburk,CZ020,Středočeský kraj
Stratov,CZ0208,Nymburk,CZ020,Středočeský kraj
Březová,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Tatce,CZ0204,Kolín,CZ020,Středočeský kraj
Třebestovice,CZ0208,Nymburk,CZ020,Středočeský kraj
Úmyslovice,CZ0208,Nymburk,CZ020,Středočeský kraj
Dalovice,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Jenišov,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Mírová,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Vestec,CZ0208,Nymburk,CZ020,Středočeský kraj
Vlkov pod Oškobrhem,CZ0208,Nymburk,CZ020,Středočeský kraj
Otovice,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Vrbová Lhota,CZ0208,Nymburk,CZ020,Středočeský kraj
Všechlapy,CZ0208,Nymburk,CZ020,Středočeský kraj
Vykáň,CZ0208,Nymburk,CZ020,Středočeský kraj
Andělská Hora,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Černava,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Smolné Pece,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Žehuň,CZ0204,Kolín,CZ020,Středočeský kraj
Babice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Bašť,CZ0209,Praha-východ,CZ020,Středočeský kraj
Bořanovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Brandýs nad Labem-Stará Boleslav,CZ0209,Praha-východ,CZ020,Středočeský kraj
Brázdim,CZ0209,Praha-východ,CZ020,Středočeský kraj
Děpoltovice,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Čelákovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Čestlice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Hájek,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Dobřejovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Kbelany,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Dřevčice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Horoušany,CZ0209,Praha-východ,CZ020,Středočeský kraj
Hovorčovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Hrusice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Husinec,CZ0209,Praha-východ,CZ020,Středočeský kraj
Jenštejn,CZ0209,Praha-východ,CZ020,Středočeský kraj
Jirny,CZ0209,Praha-východ,CZ020,Středočeský kraj
Kaliště,CZ0209,Praha-východ,CZ020,Středočeský kraj
Kamenice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Klecany,CZ0209,Praha-východ,CZ020,Středočeský kraj
Klíčany,CZ0209,Praha-východ,CZ020,Středočeský kraj
Krásno,CZ0413,Sokolov,CZ041,Karlovarský kraj
Kojetice,CZ0206,Mělník,CZ020,Středočeský kraj
Kostelec u Křížků,CZ0209,Praha-východ,CZ020,Středočeský kraj
Šabina,CZ0413,Sokolov,CZ041,Karlovarský kraj
Křížkový Újezdec,CZ0209,Praha-východ,CZ020,Středočeský kraj
Kunice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Svatava,CZ0413,Sokolov,CZ041,Karlovarský kraj
Líbeznice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Louňovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Máslovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Měšice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Mirošovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Mnichovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Mochov,CZ0209,Praha-východ,CZ020,Středočeský kraj
Mratín,CZ0209,Praha-východ,CZ020,Středočeský kraj
Mukařov,CZ0209,Praha-východ,CZ020,Středočeský kraj
Nehvizdy,CZ0209,Praha-východ,CZ020,Středočeský kraj
Nová Ves,CZ0209,Praha-východ,CZ020,Středočeský kraj
Nový Vestec,CZ0209,Praha-východ,CZ020,Středočeský kraj
Odolena Voda,CZ0209,Praha-východ,CZ020,Středočeský kraj
Ondřejov,CZ0209,Praha-východ,CZ020,Středočeský kraj
Dolní Rychnov,CZ0413,Sokolov,CZ041,Karlovarský kraj
Panenské Břežany,CZ0209,Praha-východ,CZ020,Středočeský kraj
Petříkov,CZ0209,Praha-východ,CZ020,Středočeský kraj
Podolanka,CZ0209,Praha-východ,CZ020,Středočeský kraj
Polerady,CZ0209,Praha-východ,CZ020,Středočeský kraj
Postřižín,CZ0206,Mělník,CZ020,Středočeský kraj
Předboj,CZ0209,Praha-východ,CZ020,Středočeský kraj
Tatrovice,CZ0413,Sokolov,CZ041,Karlovarský kraj
Přezletice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Pyšely,CZ0201,Benešov,CZ020,Středočeský kraj
Radějovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Radonice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Řehenice,CZ0201,Benešov,CZ020,Středočeský kraj
Říčany,CZ0209,Praha-východ,CZ020,Středočeský kraj
Březnice,CZ0724,Zlín,CZ072,Zlínský kraj
Senohraby,CZ0209,Praha-východ,CZ020,Středočeský kraj
Sibřina,CZ0209,Praha-východ,CZ020,Středočeský kraj
Sluhy,CZ0209,Praha-východ,CZ020,Středočeský kraj
Sluštice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Krásná,CZ0411,Cheb,CZ041,Karlovarský kraj
Strančice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Podhradí,CZ0411,Cheb,CZ041,Karlovarský kraj
Struhařov,CZ0209,Praha-východ,CZ020,Středočeský kraj
Sulice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Světice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Svojetice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Pomezí nad Ohří,CZ0411,Cheb,CZ041,Karlovarský kraj
Šestajovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Škvorec,CZ0209,Praha-východ,CZ020,Středočeský kraj
Tehov,CZ0209,Praha-východ,CZ020,Středočeský kraj
Milíkov,CZ0411,Cheb,CZ041,Karlovarský kraj
Lázně Toušeň,CZ0209,Praha-východ,CZ020,Středočeský kraj
Okrouhlá,CZ0411,Cheb,CZ041,Karlovarský kraj
Úvaly,CZ0209,Praha-východ,CZ020,Středočeský kraj
Veleň,CZ0209,Praha-východ,CZ020,Středočeský kraj
Veliká Ves,CZ0209,Praha-východ,CZ020,Středočeský kraj
Velké Popovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Větrušice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Vodochody,CZ0209,Praha-východ,CZ020,Středočeský kraj
Třebeň,CZ0411,Cheb,CZ041,Karlovarský kraj
Všestary,CZ0209,Praha-východ,CZ020,Středočeský kraj
Vyšehořovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Zdiby,CZ0209,Praha-východ,CZ020,Středočeský kraj
Zeleneč,CZ0209,Praha-východ,CZ020,Středočeský kraj
Vojtanov,CZ0411,Cheb,CZ041,Karlovarský kraj
Zlonín,CZ0209,Praha-východ,CZ020,Středočeský kraj
Zvánovice,CZ0209,Praha-východ,CZ020,Středočeský kraj
Bojanovice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Bojanovice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Stará Voda,CZ0411,Cheb,CZ041,Karlovarský kraj
Černolice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Černošice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Číčovice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Čisovice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Davle,CZ020A,Praha-západ,CZ020,Středočeský kraj
Dobrovíz,CZ020A,Praha-západ,CZ020,Středočeský kraj
Dobříč,CZ020A,Praha-západ,CZ020,Středočeský kraj
Dobřichovice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Dolany,CZ0206,Mělník,CZ020,Středočeský kraj
Dolní Břežany,CZ020A,Praha-západ,CZ020,Středočeský kraj
Holubice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Horoměřice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Hostivice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Hradištko,CZ020A,Praha-západ,CZ020,Středočeský kraj
Hvozdnice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Velká Hleďsebe,CZ0411,Cheb,CZ041,Karlovarský kraj
Choteč,CZ020A,Praha-západ,CZ020,Středočeský kraj
Chrášťany,CZ020A,Praha-západ,CZ020,Středočeský kraj
Chýně,CZ020A,Praha-západ,CZ020,Středočeský kraj
Jeneč,CZ020A,Praha-západ,CZ020,Středočeský kraj
Jesenice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Jílové u Prahy,CZ020A,Praha-západ,CZ020,Středočeský kraj
Jíloviště,CZ020A,Praha-západ,CZ020,Středočeský kraj
Jinočany,CZ020A,Praha-západ,CZ020,Středočeský kraj
Kamenný Přívoz,CZ020A,Praha-západ,CZ020,Středočeský kraj
Vlkovice,CZ0411,Cheb,CZ041,Karlovarský kraj
Kněževes,CZ020A,Praha-západ,CZ020,Středočeský kraj
Kosoř,CZ020A,Praha-západ,CZ020,Středočeský kraj
Lety,CZ020A,Praha-západ,CZ020,Středočeský kraj
Libčice nad Vltavou,CZ020A,Praha-západ,CZ020,Středočeský kraj
Libeř,CZ020A,Praha-západ,CZ020,Středočeský kraj
Zádub-Závišín,CZ0411,Cheb,CZ041,Karlovarský kraj
Líšnice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Ovesné Kladruby,CZ0411,Cheb,CZ041,Karlovarský kraj
Valy,CZ0411,Cheb,CZ041,Karlovarský kraj
Měchenice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Ohrobec,CZ020A,Praha-západ,CZ020,Středočeský kraj
Okrouhlo,CZ020A,Praha-západ,CZ020,Středočeský kraj
Ořech,CZ020A,Praha-západ,CZ020,Středočeský kraj
Prameny,CZ0411,Cheb,CZ041,Karlovarský kraj
Petrov,CZ020A,Praha-západ,CZ020,Středočeský kraj
Odrava,CZ0411,Cheb,CZ041,Karlovarský kraj
Pohoří,CZ020A,Praha-západ,CZ020,Středočeský kraj
Průhonice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Psáry,CZ020A,Praha-západ,CZ020,Středočeský kraj
Tuřany,CZ0411,Cheb,CZ041,Karlovarský kraj
Roztoky,CZ020A,Praha-západ,CZ020,Středočeský kraj
Řevnice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Řitka,CZ020A,Praha-západ,CZ020,Středočeský kraj
Slapy,CZ020A,Praha-západ,CZ020,Středočeský kraj
Statenice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Středokluky,CZ020A,Praha-západ,CZ020,Středočeský kraj
Měcholupy,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Štěchovice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Štěnovický Borek,CZ0323,Plzeň-město,CZ032,Plzeňský kraj
Třebotov,CZ020A,Praha-západ,CZ020,Středočeský kraj
Tuchoměřice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Tursko,CZ020A,Praha-západ,CZ020,Středočeský kraj
Oplot,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Únětice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Velké Přílepy,CZ020A,Praha-západ,CZ020,Středočeský kraj
Horní Lukavice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Vonoklasy,CZ020A,Praha-západ,CZ020,Středočeský kraj
Vrané nad Vltavou,CZ020A,Praha-západ,CZ020,Středočeský kraj
Všenory,CZ020A,Praha-západ,CZ020,Středočeský kraj
Zbuzany,CZ020A,Praha-západ,CZ020,Středočeský kraj
Zlatníky-Hodkovice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Zvole,CZ020A,Praha-západ,CZ020,Středočeský kraj
Příbram,CZ020B,Příbram,CZ020,Středočeský kraj
Příbram,CZ020B,Příbram,CZ020,Středočeský kraj
Týniště,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Skašov,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Dolce,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Bohutín,CZ020B,Příbram,CZ020,Středočeský kraj
Libina,CZ0715,Šumperk,CZ071,Olomoucký kraj
Borotice,CZ020B,Příbram,CZ020,Středočeský kraj
Bratkovice,CZ020B,Příbram,CZ020,Středočeský kraj
Brdy,CZ020B,Příbram,CZ020,Středočeský kraj
Lipinka,CZ0712,Olomouc,CZ071,Olomoucký kraj
Březnice,CZ020B,Příbram,CZ020,Středočeský kraj
Buková u Příbramě,CZ020B,Příbram,CZ020,Středočeský kraj
Lipová-lázně,CZ0711,Jeseník,CZ071,Olomoucký kraj
Buš,CZ020A,Praha-západ,CZ020,Středočeský kraj
Střelice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Lisov,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Čenkov,CZ020B,Příbram,CZ020,Středočeský kraj
Čím,CZ020B,Příbram,CZ020,Středočeský kraj
Daleké Dušníky,CZ020B,Příbram,CZ020,Středočeský kraj
Nezdřev,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Dobříš,CZ020B,Příbram,CZ020,Středočeský kraj
Dolní Hbity,CZ020B,Příbram,CZ020,Středočeský kraj
Životice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Drahlín,CZ020B,Příbram,CZ020,Středočeský kraj
Drásov,CZ020B,Příbram,CZ020,Středočeský kraj
Líšnice,CZ0715,Šumperk,CZ071,Olomoucký kraj
Drevníky,CZ020B,Příbram,CZ020,Středočeský kraj
Drhovy,CZ020B,Příbram,CZ020,Středočeský kraj
Loštice,CZ0715,Šumperk,CZ071,Olomoucký kraj
Kozlovice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Dublovice,CZ020B,Příbram,CZ020,Středočeský kraj
Loučná nad Desnou,CZ0715,Šumperk,CZ071,Olomoucký kraj
Lukavice,CZ0715,Šumperk,CZ071,Olomoucký kraj
Hluboš,CZ020B,Příbram,CZ020,Středočeský kraj
Drahkov,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Nová Ves,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Hřiměždice,CZ020B,Příbram,CZ020,Středočeský kraj
Otěšice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Chlumy,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Hvožďany,CZ020B,Příbram,CZ020,Středočeský kraj
Chotilsko,CZ020B,Příbram,CZ020,Středočeský kraj
Malá Morava,CZ0715,Šumperk,CZ071,Olomoucký kraj
Nebílovy,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Chraštice,CZ020B,Příbram,CZ020,Středočeský kraj
Maletín,CZ0715,Šumperk,CZ071,Olomoucký kraj
Jablonná,CZ020B,Příbram,CZ020,Středočeský kraj
Mikulovice,CZ0711,Jeseník,CZ071,Olomoucký kraj
Jesenice,CZ020B,Příbram,CZ020,Středočeský kraj
Jince,CZ020B,Příbram,CZ020,Středočeský kraj
Předenice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Radkovice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Kamýk nad Vltavou,CZ020B,Příbram,CZ020,Středočeský kraj
Klučenice,CZ020B,Příbram,CZ020,Středočeský kraj
Bolkov,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Mohelnice,CZ0715,Šumperk,CZ071,Olomoucký kraj
Mohelnice,CZ0715,Šumperk,CZ071,Olomoucký kraj
Moravičany,CZ0715,Šumperk,CZ071,Olomoucký kraj
Kosova Hora,CZ020B,Příbram,CZ020,Středočeský kraj
Nový Malín,CZ0715,Šumperk,CZ071,Olomoucký kraj
Olšany,CZ0715,Šumperk,CZ071,Olomoucký kraj
Únětice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Kozárovice,CZ020B,Příbram,CZ020,Středočeský kraj
Oskava,CZ0715,Šumperk,CZ071,Olomoucký kraj
Krásná Hora nad Vltavou,CZ020B,Příbram,CZ020,Středočeský kraj
Letkov,CZ0323,Plzeň-město,CZ032,Plzeňský kraj
Křepenice,CZ020B,Příbram,CZ020,Středočeský kraj
Křešín,CZ020B,Příbram,CZ020,Středočeský kraj
Křešín,CZ020B,Příbram,CZ020,Středočeský kraj
Křešín,CZ020B,Příbram,CZ020,Středočeský kraj
Palonín,CZ0715,Šumperk,CZ071,Olomoucký kraj
Pavlov,CZ0715,Šumperk,CZ071,Olomoucký kraj
Líšina,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Láz,CZ020B,Příbram,CZ020,Středočeský kraj
Kotovice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Mokrouše,CZ0323,Plzeň-město,CZ032,Plzeňský kraj
Písařov,CZ0715,Šumperk,CZ071,Olomoucký kraj
Honezovice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Srby,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Písečná,CZ0711,Jeseník,CZ071,Olomoucký kraj
Sedliště,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Vlčtejn,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Malá Hraštice,CZ020B,Příbram,CZ020,Středočeský kraj
Smědčice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Police,CZ0715,Šumperk,CZ071,Olomoucký kraj
Milešov,CZ020B,Příbram,CZ020,Středočeský kraj
Milín,CZ020B,Příbram,CZ020,Středočeský kraj
Milín,CZ020B,Příbram,CZ020,Středočeský kraj
Mníšek pod Brdy,CZ020A,Praha-západ,CZ020,Středočeský kraj
Postřelmov,CZ0715,Šumperk,CZ071,Olomoucký kraj
Mokrovraty,CZ020B,Příbram,CZ020,Středočeský kraj
Nalžovice,CZ020B,Příbram,CZ020,Středočeský kraj
Chlum,CZ0326,Rokycany,CZ032,Plzeňský kraj
Nečín,CZ020B,Příbram,CZ020,Středočeský kraj
Nedrahovice,CZ020B,Příbram,CZ020,Středočeský kraj
Nechvalice,CZ020B,Příbram,CZ020,Středočeský kraj
Rájec,CZ0715,Šumperk,CZ071,Olomoucký kraj
Rapotín,CZ0715,Šumperk,CZ071,Olomoucký kraj
Rohle,CZ0715,Šumperk,CZ071,Olomoucký kraj
Nová Ves pod Pleší,CZ020B,Příbram,CZ020,Středočeský kraj
Nové Dvory,CZ020B,Příbram,CZ020,Středočeský kraj
Nový Knín,CZ020B,Příbram,CZ020,Středočeský kraj
Rovensko,CZ0715,Šumperk,CZ071,Olomoucký kraj
Čilá,CZ0326,Rokycany,CZ032,Plzeňský kraj
Obecnice,CZ020B,Příbram,CZ020,Středočeský kraj
Obory,CZ020B,Příbram,CZ020,Středočeský kraj
Obořiště,CZ020B,Příbram,CZ020,Středočeský kraj
